call_number,display_template,provenance,binding_description,date,title,location,Publisher,longitude,latitude,subject,local_note,editor,author,note,,,,,,Formats
PT19.P3 v11,record,,Black paste paper over boards; manucript spine label with year.,1855,Payne's Miniatur Almanac für 1855,Leipzig und Dresden, Englische Kunstanstalt A.H. Payne,,,Calendar ; poetry ; essays ; stories.,,,"Herbst, Paula; Norden, Maria; Vogl, J. N.; Clausnitzer, Maria; Drobisch, Theodor; Weinholz, A.",,,,,,,
PT19.P3 v12,record,,Black paste paper over boards; manucript spine label with year.,1856,Payne's Miniatur Almanac für 1856,Leipzig und Dresden, Englische Kunstanstalt A.H. Payne,,,Calendar ; poetry ; novellas ; essays.,,,"Herbst, P.; Poe, E. A.; Görling, A.; Drobisch, T.; Claussnitzer, M.; Bachmann, Elise; Vogel, L; Vorberg, C..",The Black Cat by Poe is featured. ,,,,,,
PT19.P3 v13,record,,Black paste paper over boards; manucript spine label with year.,1857,Payne's Miniatur Almanac für 1857,Leipzig und Dresden, Englische Kunstanstalt A.H. Payne,,,Calendar ; poetry ; essays ; stories ; novellas.,,,"Drobisch; Schanz, Pauline; v. Meran, Konrad; Klaussnitzer; Seeman, E. A.; Schanz, J; Vogt, C. W.; Röhn, Adalbert.",,,,,,,
PT19.P3 v15,record,,Black paste paper over boards; manucript spine label with year.,1859,Payne's Miniatur Almanac für 1859,Leipzig und Dresden, Englische Kunstanstalt A.H. Payne,,,Calendar ; poetry ; novellas ; stories.,,,"Frick; Kauffer; Görling; v. Schlecta, E. E.; Sylvan, H.; Claussnitzer; Rein; v. Schlecta; v. Halberg.",,,,,,,
PT19.R8 v1,record,,Red cloth over boards; black spattered edges; gilt decorated spine ,1827,Rosen: Ein Taschenbuch für 1827,Leipzig, F. A. Leo,12.3874,51.3434,Poetry ; novellas ; essays.,,"Hell, T. ",Plenken; Döring; Willibald.,,,,,,,
PT19.R8 v2,record,,"1/4 Pink cloth, pink floral paste paper over boards; gilt edges. ",1828,Rosen: Ein Taschenbuch für 1828,Leipzig, F. A. Leo,12.3874,51.3434,Novellas ; stories ; sonnets. ,,"Hell, T. ","v. Tromlitz; Satori; Blumenhagen, W.; Schefer, L.",,,,,,,
PT19.R8 v3,record,,Gloster marbled paper over boards; gilt edges; gloster marbled paper over calf on spine. ,1829,Rosen: Ein Taschenbuch für 1829,Leipzig, F. A. Leo,12.3874,51.3434,Novellas ; stories ; sonnets. ,,"Hell, T. ","May, Sophie; v. Tromlitz; v. Wachsmann; Blumenhagen. ",,,,,,,
PT19.R8 v4,record,,1/4 blue cloth with teal paste paper covered paper over boards; gilt edges. ,1830,Rosen: Ein Taschenbuch für 1830,Leipzig, F. A. Leo,12.3874,51.3434,Novellas ; stories. ,,"Hell, T. ","Schefer, L; Satori; Hell; v. Lüdemann; v. Tromlitz.",,,,,,,
PT19.R8 v5-6,record,,Green floral paste paper over boards; gilt edges.,1831,Rosen: Ein Taschenbuch für 1831,Leipzig, F. A. Leo,12.3874,51.3434,Novellas ; stories ; ballads. ,,"Hell, T. ","Döring; v. Deppen; Niesner, M.; v. Wachsmann.",,,,,,,
PT19.R8 v7,record,Former owner's inscription: [G. J. Edler]; [illegible].,"Partially rebound 1/4 Pink cloth, pink floral embossed cloth over boards; gilt edges. ",1833,Rosen: Ein Taschenbuch für 1832 und 1833,Leipzig, F. A. Leo,12.3874,51.3434,Poetry ; stories ; novellas. ,,"Hell, T. ","v. Lüdemann; Blumenhagen; Teleke, H. K.; St. Nelly; Zehner; Franz, Agnes.",,,,,,,
PT19.R8 v8,record,,Embossed brown cloth over boards; gilt edges; gilt decorated spine.,1834,Rosen: Ein Taschenbuch für 1834,Leipzig, F. A. Leo,12.3874,51.3434,Poetry ; stories ; novellas. ,,"Hell, T. ","Hell; v. Lüdemann; Blumauer, C.; v. Militz, C. B..",,,,,,,
PT19.R8 v9,record,Former owner's inscription on cover: [G. J.],Floral pink paste paper over boards; gilt edges.,1835,Rosen: Ein Taschenbuch für 1835,Leipzig, F. A. Leo,12.3874,51.3434,Novellas ; stories. ,,"Hell, T. ",Zehner; v. Gusek; Satori; Krebs.,,,,,,,
